# type,source,target,level,origin
type,source,target,level,origin
initial,z,zh,1,ibus_libpinyin
initial,zh,z,1,ibus_libpinyin
initial,c,ch,1,ibus_libpinyin
initial,ch,c,1,ibus_libpinyin
initial,s,sh,1,ibus_libpinyin
initial,sh,s,1,ibus_libpinyin
final,an,ang,1,ibus_libpinyin
final,ang,an,1,ibus_libpinyin
final,en,eng,1,ibus_libpinyin
final,eng,en,1,ibus_libpinyin
final,in,ing,1,ibus_libpinyin
final,ing,in,1,ibus_libpinyin
initial,n,l,2,ibus_libpinyin
initial,l,n,2,ibus_libpinyin
initial,l,r,2,ibus_libpinyin
initial,r,l,2,ibus_libpinyin
initial,f,h,2,ibus_libpinyin
initial,h,f,2,ibus_libpinyin
final,ian,iang,2,manual_spec
final,iang,ian,2,manual_spec
final,uan,uang,2,manual_spec
final,uang,uan,2,manual_spec
final,un,ong,2,manual_spec
final,ong,un,2,manual_spec
final,ing,i,2,manual_spec
final,iang,ia,2,manual_spec
final,ang,a,2,manual_spec
final,eng,e,2,manual_spec
final,u,ou,1,fcitx5
final,ou,u,1,fcitx5
initial,b,p,3,manual_spec
initial,p,b,3,manual_spec
initial,d,t,3,manual_spec
initial,t,d,3,manual_spec
initial,g,k,3,ibus_libpinyin
initial,k,g,3,ibus_libpinyin
initial,j,q,3,manual_spec
initial,q,j,3,manual_spec
initial,j,x,3,manual_spec
initial,x,j,3,manual_spec
initial,q,x,3,manual_spec
initial,x,q,3,manual_spec
