测试TMG|测MTBF
流程IT|流川IT
流程IT|流沙IT
流程IT|流川T
4人月|私人医院
MCU利旧|MCL就
2000方|两千花
ASR分离|SR分离
ASR分离|AI分离
SaaS订阅|Sauce订阅
SR转测|S二转测
SR转测|SR转车
终端BG|终端边G
DFX竞争力|D.F.差竞争力
AT会议|A AT会议
ST会议|S AT会议
基于V900|GUV一百
智微OPS|智微OPS.S
泰国NACC|泰国A C C
泰国NACC|泰国NRSEC
端到端DI|端端D
ASR接口|S R接口
AI架构|A架构
基于Sub TR6|第一上面T二六
过ADCP|播ADCP
25B版本|二B的版本
老王SE|那YSE
不上RAT|不上IT
Qcow2包|car包
审视Owner|沈氏 owner
SIT全量测试|Seat全量测试
InfoComm洞察|InfoCom洞察
TR6试制|T二六失智
TR5缺陷去除率|T幺五缺陷去除率
DFX模型|D F 插模型
XC电脑|叉C电脑
IdeaHub屏算分离IHK3-65XA|iDHub平酸凤梨iH三杠六五叉A
服务TD|服务TDD
现场TD|现场TDD
DTR1评审|DTRB评审
EOS设备|EOS设备备
RAT决策|Right决策
RAT决策|RAT决策策
DTRB局点|DTRB举点
DTRB局点|DDTRB局点
DTRB评审|DTRB评审审
IO3模组|L三模组
屏算LG|平算LG
屏算LG|拼算LG
RSE合设|R C合适
JS层|GS层
JIC联合创新|J I 亿联合创新
端云AI|端云OA
本地AI|本地OA
AI联创|OA联创
TR5评审会|T二五评审会
TR遗漏点|TIE六点
2026年H1|二零二六H一
2026年H1|二零二六年H E
2026年H1|二零二六H E
送进ASR|送进SR
送入ASR|送入SR
说话人的embedding|二人的embedding
打败MaxHub|打败top
千问ASR|千万S R
ASR增强|SR增强
ASR增强|S R增强
ICT的料|S一的料
ASR这种|SR这种
ASR收尾|S三收尾
ICT生命周期|SAD生命周期
过了EOP|过了UP
会议SDK|为ESDK
端到端4K|高端四K
C折弯|C值弯
C折弯|C指弯
ICSL送检|SAR送检
ICSL送检|SCL送检
