预制模板|一支部门
朱道建|杜兆建
一个模板|一个模仿
思维导图|智慧导师
小土豆|小桌子
谁做压缩|随度压缩
那理论上|那刘总
跟显义对一次|跟钱对一次
赵峻|赵先生
赵峻|赵经理
小土豆清零例会|小土豆千年历会
清零例会|亲兄弟会
天舟的|天津厂的
灰度操作|混沌操作
新疆应急|新疆印尼
发言人分割|画面分割
智会速记|智慧数据
批量删除|技能删除
局点替换|举铁踢王
颜坤总|演空组
尹异总|演艺组
基本功能|字典功能
智真会议|资深会议
过点纪要|过年机票
遗留问题的闭环|一零万的币房
德晟达和朗国|当时拿给朗国
两步走|表不走了
说话人分割没确定|发动机没确定
森伢周清|生涯周期
总工作量|总工资上
宗友干|中午干
智真会议系统|自证会议系统
智真会议系统|自征会议系统
智真会议系统|自增会议系统
信创适配|轻装适配
双讲抑制|酸长抑制
端/边/云一体化架构|端边缘一体化架构
过滤一下|雇了一下
那子昂|那食堂
私有化|碎花
大模型启起来|吸大毛也吸起来
健民还在|清明还在
绿区那个空间|历史那个空间
纪要这边|第二这边
校正之后|叫郑子浩
语气词|仪器车
语气词|野野汽车
屏算分离|频散分离
丢语音段|丢云栈
向量库|线库
向量数据|下面数据
映射到梅尔谱|认识到门儿
重叠检测模块|空气检测模块
重叠检测模块|车内检测模块
重叠检测|光电检测
说话人分支|专人分职
说话人分割|双人分割
说话人分割|帮人哥
说话人分割|二刃分割
说话人分割|八人分割
单通道|江滩道
重叠分离|纯油分离
声纹相似性|双温相变镜
多发言人区分|多拍人角色区分
说话人|刷人
遥控精灵|牢靠经营
云会议|元会
会议纪要|会讲
荣晔晖|《溶液灰战》
会议白板|会议版本
战略解码|战略起草
端侧降噪|端侧相照
上海电气研究院|上海天启医院
上海电气研究院|上海联勤医院
阿尔及利亚|二级站
云会议空间|云贵空间
赤霄这个项目|七幺这个项目
森伢那个|沈阳那个
上海电气|爱电竞
幻境智真|《荒野之真》
幻境智真|幻境巨人
入驻式|露露视
那个组长|那个子昂
智能纪要|智能渠道
智能纪要|智能教育
清哥|扣一个
