冲突的话|充值的话
测都挺稳的|车都挺稳的
鹭兴|陆鑫
鹭兴|露西
宗友|钟友
宗友|宗勇
志远负责|资源负责
鸿运|宏源
华为云|华云
朱道建|朱道静
老王|老万
天舟|千舟
天舟|温州
天舟|郴州
李青华|李新华
贺行|贺总
贺行|浩行
贺行|贺涵
贺行|贺航
联创|连串
联创|年创
周清|周星
周清|周姐
周清|卢青
周清|周婷
周清|周兴
月颖|岳云
存储|村头
曹华|曹宝
张震|张正
张震|张志
巫军|吴斌
申亮|孙亮
申亮|生亮
森伢|孙雅
森伢|盛亚
丢包六|丢包率
码六|码率
良总|杨总
海涛|海沧
海涛|海棠
显义|田毅
竞合|进核
彬哥|兵哥
金金|金一
运珍|玉珍
读得|躲的
测一发并发|测一发病房
内嵌|内墙
司南|思兰
司南|四奶
雪婷|雪林
统信|董信
文远|文彦
产线|海线
摘要|弹药
实时摘要|实时弹药
和显义讨论一下|和小易讨论一下
冯围|红卫
赵峻|赵云
赵峻|赵金
江苏|加速
绩效考核|绩效饱和
德晟达|德胜达
德晟达|德尔达
德晟达|德盛达
谢葵|谢辉
清零例会|青林立会
合入|河路
加速卡|江苏卡
今晚|尖玩
测起来|撤起来
农行总部|农化总部
冯彬|冯毅
朗国|南国
强子|厂子
强子|乔子
融合语音白板|融合语音排版
没有演进|没有眼镜
孙振|孙总
孙振|孙正
宋帅|宋帅帅
宋帅|主帅
文亮|洪亮
文亮|吴亮
赵江|张江
以黑盒的视角|以黑客的视角
建华|金花
星星|七星
个用例|个病例
网元过点|网页过点
明总|云总
智真会议|质证会议
智真会议|执政会议
绍宇|少爷
翩总|品总
翩总|片组
都星星|杜星星
空杯|烘焙
人月|人乐
园庆|袁婷
园庆|袁鑫
赤霄|撤销
赤霄|滞销
鸿蒙|黄盟
鸿蒙|红木
声纹识别|正文识别
低时延|低视野
投屏|头皮
遗留风险|引流风险
那个强子|那个强
陈卓|陈总
适配工作|试飞工作
适配接口|试飞接口
班组|班主
智真终端|质证终端
社区发布|设计发布
重试|从试
曾超|郑超
过滤静音|过滤精英
我来共享|我来贡献
健民|建明
子昂|子航
存量局点|存量化点
现网存量局点|现网存量化点
本轮转测问题单|本人转测问题单
质量与效率提升|质量化效率提升
在网页上|在网格上
凡琦|番茄
校正之后|教证支付
敏姐|明姐
敏姐|宁姐
雪纯|雪城
合设部署|合适部署
合设部署|核热部署
合设部署|和声部署
遗漏点|一六点
总体架构图|通体架构图
微调|喂草
屯帧|囤针
多说话人|多数化人
静音段|经营段
静音段|精英段
终端这块|中观这块
魏翔|魏强
云会议|零会议
左手倒右手|左手找右手
熟客|逐客
交给冬美|交给东北
冬美交代|东北交代
冬美你们|东北你们
那个冬美|那个东北
在研项目|在云项目
任务令|任务链
何少|和尚
友商|主商
沉浸式智真|沉浸式之争
超斌总|曹斌总
鹏鼎|宏鼎
布朗运动|布朗移动
大框图|大黄图
卞博|电博
全量演进|全量眼镜
产分|抢分
产分|采分
蒋明洋|讲阴阳
低端|第一端
十大重点国|十大重点多
十大国|十大股
赤水|次水
洞察|动产
粤视会|院士会
坤哥|空哥
良鹏|梁红
强总|乔总
强总|条总
赤霄项目|撤销项目
原型机|原因机
广荣总|广总
广荣|广龙
广荣|广隆
广荣|广工
广荣|广红
广荣|广文
底噪|底账
青华|金华
老金|老俊
月红|云红
风波|洪波
代表处|代表数
幻境|幻军
实时翻译|小时翻译
那个王璐|那个网络
单路|单步
韩总|樊总
韩总|谭总
韩总|安总
韩总|张总
程宏|陈红
涉密白牌|三米白牌
涉密|热密
项目|夏目
竞分|劲风
竞分|进分
闫帅|元帅
闫帅|袁帅
闫帅|杨帅
闫帅|延川
组网图|主网图
鼎桥|顶巢
贾晶|贾军
入驻式|入室
数通|苏通
音视频|英视频
多摄导播|多色导播
白板|翻板
敏态|闽派
包括广荣|包广荣
道建|大剑
道建|大建
智能纪要|智能机
师良鹏|司良鹏
玮彬|尾屏
昝部长|展部长
